smiles,gas,dsrate,loss,td
O=C(c1ccc2c(c1)C(=O)N(c1cccc(P(=O)(c3cccc(N4C(=O)C5C6C=CC(C6)C5C4=O)c3)c3cccc(N4C(=O)C5C6C=CC(C6)C5C4=O)c3)c1)C2=O)c1ccc2c(c1)C(=O)N(c1cccc(P(=O)(c3cccc(N4C(=O)C5C6C=CC(C6)C5C4=O)c3)c3cccc(N4C(=O)C5C6C=CC(C6)C5C4=O)c3)c1)C2=O,N2,10,0,425
O=C1c2ccc(C(c3ccc4c(c3)C(=O)N(c3cccc(P(=O)(c5cccc(N6C(=O)C7C8C=CC(C8)C7C6=O)c5)c5cccc(N6C(=O)C7C8C=CC(C8)C7C6=O)c5)c3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C(=O)N1c1cccc(P(=O)(c2cccc(N3C(=O)C4C5C=CC(C5)C4C3=O)c2)c2cccc(N3C(=O)C4C5C=CC(C5)C4C3=O)c2)c1,N2,10,0,445
Nc1cccc(P(=O)(c2cccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(c5cccc(P(=O)(c7cccc(N)c7)c7cccc(N8C(=O)C9C%10C=CC(C%10)C9C8=O)c7)c5)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c2)c2cccc(N3C(=O)C4C5C=CC(C5)C4C3=O)c2)c1,N2,10,0,445
Nc1cccc(P(=O)(c2cccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(c5cccc(P(=O)(c7cccc(N)c7)c7cccc(N8C(=O)C9C%10C=CC(C%10)C9C8=O)c7)c5)C6=O)cc4C3=O)c2)c2cccc(N3C(=O)C4C5C=CC(C5)C4C3=O)c2)c1,N2,10,0,458
Nc1cccc(P(=O)(c2cccc(N3C(=O)C4C5C=CC(C5)C4C3=O)c2)c2cccc(-n3c(=O)c4cc5c(=O)n(-c6cccc(P(=O)(c7cccc(N)c7)c7cccc(N8C(=O)C9C%10C=CC(C%10)C9C8=O)c7)c6)c(=O)c5cc4c3=O)c2)c1,N2,10,0,432
O=C1C2C3C=CC(C3)C2C(=O)N1c1cccc(P(=O)(c2cccc(N3C(=O)C4C5C=CC(C5)C4C3=O)c2)c2cccc(N3C(=O)C4C5C=CC(C5)C4C3=O)c2)c1,N2,10,0,142
Nc1cccc(P(=O)(c2cccc(N)c2)c2cccc(N3C(=O)c4ccccc4C3=O)c2)c1,N2,10,0,149
Nc1ccc(NC(=O)c2cccc(C(=O)c3ccc(C=O)cc3)c2)cc1,N2,10,5,469
Nc1cccc(C(=O)c2ccc(NC(=O)c3cccc(C(=O)c4ccc(C=O)cc4)c3)cc2)c1,N2,10,5,388
CP(=O)(c1cccc(N)c1)c1cccc(N2C(=O)C3C(C2=O)C2(Cl)C(Cl)=C(Cl)C3(Cl)C2(Cl)Cl)c1,N2,10,0,275
Cc1c(C)c(C(=O)c2ccc(NC(=O)c3ccc(C=O)cc3)cc2)c(C)c(C)c1N,N2,10,10,491
Cc1c(C)c(C(=O)c2ccc(NC(=O)c3ccc(C=O)cc3)cc2)c(C)c(C)c1N,air,10,10,446
Cc1c(C)c(C(=O)c2ccc(NC(=O)c3ccc(C=O)cc3)cc2)c(C)c(C)c1C(=O)c1ccc(N)cc1,N2,10,10,498
Cc1c(C)c(C(=O)c2ccc(NC(=O)c3ccc(C=O)cc3)cc2)c(C)c(C)c1C(=O)c1ccc(N)cc1,air,10,10,451
Nc1cc(NC(=O)c2ccc(C=O)cc2)cc(-c2nc3ccccc3[nH]2)c1,N2,20,10,490
Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(P(=O)(c4ccccc4)c4ccc(C=O)cc4)cc3)cc2)cc1,air,10,5,420
Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(P(=O)(c4ccccc4)c4ccc(C=O)cc4)cc3)cc2)cc1,N2,10,5,430
CP(=O)(c1cccc(N2C(=O)C3C(C2=O)C2(Cl)C(Cl)=C(Cl)C3(Cl)C2(Cl)Cl)c1)c1cccc(N2C(=O)C3C(C2=O)C2(Cl)C(Cl)=C(Cl)C3(Cl)C2(Cl)Cl)c1,N2,10,0,325
CP(=O)(c1cccc(N2C(=O)C3C(C2=O)C2(Cl)C(Cl)=C(Cl)C3(Cl)C2(Cl)Cl)c1)c1cccc(-n2c(=O)c3cc4c(=O)n(-c5cccc(P(C)(=O)c6cccc(N7C(=O)C8C(C7=O)C7(Cl)C(Cl)=C(Cl)C8(Cl)C7(Cl)Cl)c6)c5)c(=O)c4cc3c2=O)c1,N2,10,0,309
CP(=O)(c1cccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(c4cccc(P(C)(=O)c6cccc(N7C(=O)C8C(C7=O)C7(Cl)C(Cl)=C(Cl)C8(Cl)C7(Cl)Cl)c6)c4)C5=O)cc3C2=O)c1)c1cccc(N2C(=O)C3C(C2=O)C2(Cl)C(Cl)=C(Cl)C3(Cl)C2(Cl)Cl)c1,N2,10,0,313
CP(=O)(c1cccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(c4cccc(P(C)(=O)c6cccc(N7C(=O)C8C(C7=O)C7(Cl)C(Cl)=C(Cl)C8(Cl)C7(Cl)Cl)c6)c4)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1)c1cccc(N2C(=O)C3C(C2=O)C2(Cl)C(Cl)=C(Cl)C3(Cl)C2(Cl)Cl)c1,N2,10,0,300
C=C1CC(=O)N(c2ccc(Oc3ccc(N4C(=O)CC(=C)C4=O)cc3)cc2)C1=O,N2,10,0,290
C#CCOc1ccc(C(C)(C)c2ccc(OCC#C)cc2)cc1,N2,10,0,380
